Layers,Image 1,Image 2,Image 3
MLP (3 layers),15.694143115487321,16.44769762960497,15.266034126886371
MLP (4 layers),15.68227220845184,16.451162716651396,15.241874143040242
MLP (5 layers),15.692758368462822,16.48655614707241,15.153030721948591
PQC (3 layers),14.247490607052644,14.541606602308155,14.56138326354216
PQC (4 layers),2.8005353116587193,4.897081056411364,6.953974418337777
PQC (5 layers),2.8005353116587193,4.897081056411364,6.953974418337777
