Layers,Image 1,Image 2,Image 3
MLP (3 layers),15.63390776340954,16.55383521474644,15.31239605940177
MLP (4 layers),15.756831517955376,16.569118570485884,15.303812543264495
MLP (5 layers),15.65109253527977,16.387692510229062,15.164415001361755
PQC (3 layers),14.017120137887034,14.436907355572433,14.686580297020432
PQC (4 layers),4.4189102608169035,6.83693027020547,8.767487639198357
PQC (5 layers),4.435914659831897,6.840404084769284,8.757484995658306
